titulo,anoDeLancamento,idioma,diretor,genero,duracao,linkIMDB,linkImagem,descricao,orcamento,principaisAtores,classificacao,paisDeOrigem
Sergio,2020,Inglês,Greg Barker,"Biografia, Drama, História",118,https://www.imdb.com/title/tt8750570,https://m.media-amazon.com/images/M/MV5BMzIwYzQ3MTMtNjBjZC00M2ZiLTkzMzctYjZhOWM1ZTAxMTdiXkEyXkFqcGdeQXVyODkwODgyNTY@._V1_.jpg,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.",16000000,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford",14,Estados Unidos
Chappie,2015,Inglês,Neill Blomkamp,"Ação, Crime, Drama",120,https://www.imdb.com/title/tt1823672,https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_.jpg,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",49000000,"Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser",16,Estados Unidos
2 Guns,2013,Inglês,Baltasar Kormákur,"Ação, Crime, Thriller",109,https://www.imdb.com/title/tt1272878,https://m.media-amazon.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_.jpg,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",61000000,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",16,Estados Unidos
El fotógrafo de Mauthausen,2018,Espanhol,Mar Targarona,"Biografia, Drama, História",110,https://www.imdb.com/title/tt6704776,https://m.media-amazon.com/images/M/MV5BYzQzMGEzZGMtYzVjZi00OGYwLWJmYWMtNGE2OTUwNzc2MGEwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,"Based on real events, Francesc Boix is a Spaniard inmate in the Nazi concentration camp of Mauthausen in Austria who tries to save the evidences of the horrors committed inside its walls.",,"Mario Casas, Richard van Weyden, Alain Hernández, Adrià Salazar",16,Espanha
The Hungover Games,2014,Inglês,Josh Stolberg,Comédia,85,https://www.imdb.com/title/tt3138104,https://m.media-amazon.com/images/M/MV5BMTk0NjM3MDk3NV5BMl5BanBnXkFtZTgwNTEzNTY3MDE@._V1_.jpg,"A spoof on Se Beber, Não Case! (2009), Jogos Vorazes (2012) and other movies, TV series etc. 4 men, with hangovers after a bachelor party, find themselves in a future, dystopian, kill or be killed game.",,"Ross Nathan, Sam Pancake, Ben Begley, Herbert Russell",16,Estados Unidos
Wasp Network,2019,Inglês,Olivier Assayas,"Crime, Drama, Thriller",127,https://www.imdb.com/title/tt6760876,https://m.media-amazon.com/images/M/MV5BOWJkNjQxMjUtOGNhMC00MjJiLTg4OWQtYTdkNzYxMWE4NDQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,The story of five Cuban political prisoners who had been imprisoned by the United States since the late 1990s on charges of espionage and murder.,,"Penélope Cruz, Edgar Ramírez, Gael García Bernal, Ana de Armas",14,"França, Brasil, Espanha, Bélgica"
The Flintstones,1994,Inglês,Brian Levant,"Comédia, Família, Fantasia",91,https://www.imdb.com/title/tt0109813,https://m.media-amazon.com/images/M/MV5BYzY0ZTk4YzctNzYzNy00ZDQ0LTg2Y2ItZTQyYzQxMjQwMDc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",46000000,"John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell",Livre,Estados Unidos
White Girl,2016,Inglês,Elizabeth Wood,"Crime, Drama",88,https://www.imdb.com/title/tt4129870,https://m.media-amazon.com/images/M/MV5BMjMzMDY1NDcyNl5BMl5BanBnXkFtZTgwNTc0ODc4OTE@._V1_.jpg,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",,"Morgan Saylor, Brian Marc, Justin Bartha, Chris Noth",16,Estados Unidos
Murder on the Orient Express,2017,Inglês,Kenneth Branagh,"Crime, Drama, Mistério",114,https://www.imdb.com/title/tt3402236,https://m.media-amazon.com/images/M/MV5BMTAxNDkxODIyMDZeQTJeQWpwZ15BbWU4MDQ2Mjg4NDIy._V1_.jpg,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",55000000,"Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse",12,"Reino Unido, Malta, Estados Unidos"
Zack Snyder's Justice League,2021,Inglês,Zack Snyder,"Ação, Aventura, Fantasia",242,https://www.imdb.com/title/tt12361974,https://m.media-amazon.com/images/M/MV5BYjI3NDg0ZTEtMDEwYS00YWMyLThjYjktMTNlM2NmYjc1OGRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",14,Estados Unidos
A Esperança é a Última que Morre,2015,Português (Brasileiro),Calvito Leal,Comédia,90,https://www.imdb.com/title/tt3447830,https://m.media-amazon.com/images/M/MV5BNDU4MDA3Nzg2OV5BMl5BanBnXkFtZTgwNzY2MDAyNjE@._V1_.jpg,"To become the new anchor of her local TV channel, young reporter Hortencia creates a fake serial killer to grant her exclusive coverage of the crimes and give her the publicity she needs to win the the race for the anchor's seat.",,"Dani Calabresa, Eduardo Caldas, Téia Kane, Danton Mello",12,Brasil
The Hustle,2019,Inglês,Chris Addison,"Comédia, Crime",93,https://www.imdb.com/title/tt1298644,https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_.jpg,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,21000000,"Timothy Simons, Rebel Wilson, Douggie McMeekin, Ashley McGuire",12,Estados Unidos
Tenet,2020,Inglês,Christopher Nolan,"Ação, Ficção científica, Thriller",150,https://www.imdb.com/title/tt6723592,https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",205000000,"Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard",14,"Estados Unidos, Reino Unido"
The Willoughbys,2020,Inglês,Kris Pearn,"Animação, Aventura, Comédia",90,https://www.imdb.com/title/tt5206260,https://m.media-amazon.com/images/M/MV5BNDk3M2IyMmItNmEzMy00NGY5LTg5YmUtY2IwMTlhMTdmN2E1XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_.jpg,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews",10,"Canadá, Estados Unidos, Reino Unido"
Corpse Bride,2005,Inglês,"Tim Burton, Mike Johnson","Animação, Drama, Família",77,https://www.imdb.com/title/tt0121164,https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_.jpg,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",40000000,"Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman",Livre,"Estados Unidos, Reino Unido"
Le Petit Prince,2015,Inglês,Mark Osborne,"Animação, Aventura, Drama",108,https://www.imdb.com/title/tt1754656,https://m.media-amazon.com/images/M/MV5BNjg0OTM5OTQyNV5BMl5BanBnXkFtZTgwNDg5NDQ0NTE@._V1_.jpg,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",81200000,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard",Livre,"França, Canadá, Itália, Estados Unidos, China"
Next Gen,2018,Inglês,"Kevin R. Adams, Joe Ksander","Animação, Ação, Aventura",106,https://www.imdb.com/title/tt7133686,https://m.media-amazon.com/images/M/MV5BMTU0MjAwMDkxNV5BMl5BanBnXkFtZTgwMTA4ODIxNjM@._V1_.jpg,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.",150000000,"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña",10,"China, Canadá, Estados Unidos"
Shutter Island,2010,Inglês,Martin Scorsese,"Mistério, Thriller",138,https://www.imdb.com/title/tt1130884,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",80000000,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",16,Estados Unidos
Flushed Away,2006,Inglês,"David Bowers, Sam Fell","Animação, Aventura, Comédia",85,https://www.imdb.com/title/tt0424095,https://m.media-amazon.com/images/M/MV5BMTI0NzE4ODIzNl5BMl5BanBnXkFtZTYwMDUxMzI3._V1_.jpg,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",149000000,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",Livre,"Reino Unido, Estados Unidos"
Klaus,2019,Inglês,Sergio Pablos,"Animação, Aventura, Comédia",96,https://www.imdb.com/title/tt4729430,https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",40000000,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",10,"Espanha, Reino Unido, Estados Unidos"
Matilda,1996,Inglês,Danny DeVito,"Comédia, Família, Fantasia",102,https://www.imdb.com/title/tt0117008,https://m.media-amazon.com/images/M/MV5BMWE2YTBhYzItZDAxZS00Mjc3LWIxNmYtMzljZjIxMGE1NmY2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"A girl gifted with a keen intellect and psychic powers uses both to deal with her crude, distant family and free her kind teacher from their sadistic headmistress.",36000000,"Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz",Livre,Estados Unidos
The House with a Clock in Its Walls,2018,Inglês,Eli Roth,"Comédia, Família, Fantasia",105,https://www.imdb.com/title/tt2119543,https://m.media-amazon.com/images/M/MV5BMTk1MzM1ODEwOV5BMl5BanBnXkFtZTgwMTE0OTA4NTM@._V1_.jpg,A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,42000000,"Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan",10,"Estados Unidos, Canadá, Índia"
Animal Crackers,2017,Inglês,"Scott Christian Sava, Tony Bancroft","Animação, Aventura, Comédia",105,https://www.imdb.com/title/tt4155534,https://m.media-amazon.com/images/M/MV5BZDBkODRlMWMtMDEzNS00Zjc1LTlhNDItZTk1NmZhNmI2YzA1XkEyXkFqcGdeQXVyNTY0MTg1NTE@._V1_.jpg,A family must use a magical box of Animal Crackers to save a run-down circus from being taken over by their evil uncle Horatio P. Huntington.,19500000,"Emily Blunt, Danny DeVito, John Krasinski, Ian McKellen",Livre,"China, Espanha, Coréia do Sul, Estados Unidos, Reino Unido"
Pets United,2019,Inglês,Reinhard Klooss,"Animação, Aventura, Comédia",89,https://www.imdb.com/title/tt11276598,https://m.media-amazon.com/images/M/MV5BNmU2YTEwODktZDFlNC00YWJmLTk0NjEtMzZjMjM4Y2E3NjdiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,"A group of spoilt, selfish pets led by glamour cat Belle are stranded in their luxury hangout 'Pampered Pets,' when the machines that run Robo City, the hypermodern metropolis that they live in, go wild and take over.",,"Patrick Roche, Natalie Dormer, Felix Auer, Jeff Burrell",Livre,"Alemanha, China, Reino Unido"
White Chicks,2004,Inglês,Keenen Ivory Wayans,"Comédia, Crime",109,https://www.imdb.com/title/tt0381707,https://m.media-amazon.com/images/M/MV5BMTY3OTg2OTM3OV5BMl5BanBnXkFtZTYwNzY5OTA3._V1_.jpg,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,37000000,"Shawn Wayans, Marlon Wayans, Jaime King, Frankie Faison",12,Estados Unidos
Teenage Mutant Ninja Turtles,2014,Inglês,Jonathan Liebesman,"Ação, Aventura, Comédia",101,https://www.imdb.com/title/tt1291150,https://m.media-amazon.com/images/M/MV5BNjUzODQ5MDY5NV5BMl5BanBnXkFtZTgwOTc1NzcyMjE@._V1_.jpg,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",125000000,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson",12,Estados Unidos
Concrete Cowboy,2020,Inglês,Ricky Staub,Drama,111,https://www.imdb.com/title/tt8846176,https://m.media-amazon.com/images/M/MV5BODRlNjNhNDctMTJjYS00Y2Q4LTk1MGEtYTdiMDlkYWNkNGFjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint, Jharrel Jerome",16,"Reino Unido, Estados Unidos"
Arctic Justice,2019,Inglês,Aaron Woodley,"Animação, Aventura, Comédia",92,https://www.imdb.com/title/tt4426464,https://m.media-amazon.com/images/M/MV5BNTY1OTQyM2YtM2ZjOC00OWQwLTkzM2YtZjAyOGZkYjlhNWFhXkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_.jpg,"An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.",61000000,"Jeremy Renner, Heidi Klum, James Franco, John Cleese",Livre,"Itália, Reino Unido, Canadá, Estados Unidos"
How the Grinch Stole Christmas,2000,Inglês,Ron Howard,"Comédia, Família, Fantasia",104,https://www.imdb.com/title/tt0170016,https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",123000000,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",Livre,"Estados Unidos, Alemanha"
Croc-Blanc,2018,Francês,Alexandre Espigares,"Animação, Aventura",85,https://www.imdb.com/title/tt5222768,https://m.media-amazon.com/images/M/MV5BMTYwNTA2ODMxNF5BMl5BanBnXkFtZTgwNzE1NzU2NjM@._V1_.jpg,Based on the timeless novel by Jack London. A loyal wolfdog's curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters.,,"Raphaël Personnaz, Virginie Efira, Dominique Pinon, Frantz Confiac",10,"França, Luxemburgo, Estados Unidos"
Alleycats,2016,Inglês,Ian Bonhôte,"Ação, Thriller",101,https://www.imdb.com/title/tt3917318,https://m.media-amazon.com/images/M/MV5BNDc4NDY5YWQtMjc1YS00NGZmLThlN2QtNmMwYjk0NDU2NjMxXkEyXkFqcGdeQXVyMjQ1MzYwMjM@._V1_.jpg,"When bike courier Chris witnesses what looks like a murder, his first instinct is to cut and run. But when his curiosity draws him back in, he's soon embroiled in a world of corruption, political power, and illegal bike racing.",,"Eleanor Tomlinson, John Lynch, Sam Keeley, Virgile Bramly",,Reino Unido
The Outsider,2018,Japonês,Martin Zandvliet,"Ação, Crime, Drama",120,https://www.imdb.com/title/tt10289896,https://m.media-amazon.com/images/M/MV5BMDY2ZGU5MmYtZWExZS00NWNiLWFlNzUtNTRiZWI3ZTIwNzc4XkEyXkFqcGdeQXVyMzY3MDU4NDk@._V1_.jpg,"A prejudiced man chases away a homeless woman sleeping behind his restaurant. To his shock, his wife then brings her home to live with them.",,"Sofia Jane, Carmen Soo, Kk Wong, Sawyer Leong",,Malásia
The Fisherman's Diary,2020,Crioulo camaronês,Enah Johnscott,Drama,143,https://www.imdb.com/title/tt13297136,https://m.media-amazon.com/images/M/MV5BYmQ5YTE3NWMtMjg2OC00Y2U5LThiOGMtNWZiMTI4MmZkNDdiXkEyXkFqcGdeQXVyNjE2MzA3MTQ@._V1_.jpg,"Ekah is determined to go to school in a village of fishermen where a girl child's education is considered a taboo. Her drive to break this old adage gets her embroiled with her father, Solomon's past.",,"Kang Quintus, Faith Fidel, Cosson Chinopoh, Ramsey Nouah",16,Camarões
Brazil,1985,Inglês,Terry Gilliam,"Drama, Ficção científica",132,https://www.imdb.com/title/tt0088846,https://m.media-amazon.com/images/M/MV5BMDM0YTM3Y2UtNzY5MC00OTc4LThhZTYtMmM0ZGZjMmU1ZjdmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,15000000,"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm",14,"Reino Unido, Estados Unidos"
Open Season,2006,Inglês,"Roger Allers, Jill Culton, Anthony Stacchi","Animação, Aventura, Comédia",86,https://www.imdb.com/title/tt0400717,https://m.media-amazon.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_.jpg,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",85000000,"Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing",10,Estados Unidos
Monster House,2006,Inglês,Gil Kenan,"Animação, Comédia, Família",91,https://www.imdb.com/title/tt0385880,https://m.media-amazon.com/images/M/MV5BMTIzNjE1NDg1N15BMl5BanBnXkFtZTcwOTg2NTMzMQ@@._V1_.jpg,"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",75000000,"Ryan Whitney, Steve Buscemi, Mitchel Musso, Catherine O'Hara",Livre,Estados Unidos
Ponyo,2008,Japonês,Hayao Miyazaki,"Animação, Aventura, Comédia",101,https://www.imdb.com/title/tt0876563,https://m.media-amazon.com/images/M/MV5BOTc3YmM3N2QtODZkMC00ZDE5LThjMTQtYTljN2Y1YTYwYWJkXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_.jpg,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",34000000,"Tomoko Yamaguchi, Kazushige Nagashima, Yûki Amami, George Tokoro",Livre,Japão
Hop,2011,Inglês,Tim Hill,"Animação, Aventura, Comédia",95,https://www.imdb.com/title/tt1411704,https://m.media-amazon.com/images/M/MV5BMTY4MDcxNTkzNV5BMl5BanBnXkFtZTcwMTg2MDY2NA@@._V1_.jpg,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",63000000,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria",Livre,Estados Unidos
The Incredible Hulk,2008,Inglês,Louis Leterrier,"Ação, Aventura, Ficção científica",112,https://www.imdb.com/title/tt0800080,https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_.jpg,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",150000000,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",10,Estados Unidos
Thor,2011,Inglês,Kenneth Branagh,"Ação, Aventura, Fantasia",115,https://www.imdb.com/title/tt0800369,https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",150000000,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",10,Estados Unidos
The Avengers,2012,Inglês,Joss Whedon,"Ação, Aventura, Ficção científica",143,https://www.imdb.com/title/tt0848228,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,220000000,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",12,Estados Unidos
Iron Man 3,2013,Inglês,Shane Black,"Ação, Aventura, Ficção científica",130,https://www.imdb.com/title/tt1300854,https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_.jpg,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",200000000,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",12,Estados Unidos
Thor: The Dark World,2013,Inglês,Alan Taylor,"Ação, Aventura, Fantasia",112,https://www.imdb.com/title/tt1981115,https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_.jpg,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",170000000,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",10,Estados Unidos
