titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao,plataforma,assistidoLegendado,linkIMDB,linkImagem,descricao,orcamento
Titanic,15/02/2021,1997,Inglês,James Cameron,"Drama, Romance",194,,,https://www.imdb.com/title/tt0120338,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",200000000
Spider-Man,16/02/2021,2002,Inglês,Sam Raimi,"Ação, Aventura, Ficção científica",121,,,https://www.imdb.com/title/tt0145487,https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",139000000
Spider-Man 2,16/02/2021,2004,Inglês,Sam Raimi,"Ação, Aventura, Ficção científica",127,,,https://www.imdb.com/title/tt0316654,https://m.media-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,200000000
Spider-Man 3,18/02/2021,2007,Inglês,Sam Raimi,"Ação, Aventura, Ficção científica",139,,,https://www.imdb.com/title/tt0413300,https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",258000000
The Amazing Spider-Man,19/02/2021,2012,Inglês,Marc Webb,"Ação, Aventura, Fantasia",136,,,https://www.imdb.com/title/tt0948470,https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_.jpg,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",230000000
The Amazing Spider-Man 2,20/02/2021,2014,Inglês,Marc Webb,"Ação, Aventura, Fantasia",142,,,https://www.imdb.com/title/tt1872181,https://m.media-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_.jpg,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",200000000
Spider-Man: Homecoming,21/02/2021,2017,Inglês,Jon Watts,"Ação, Aventura, Ficção científica",133,,,https://www.imdb.com/title/tt2250912,https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_.jpg,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",175000000
Spider-Man: Far From Home,22/02/2021,2019,Inglês,Jon Watts,"Ação, Aventura, Ficção científica",129,,,https://www.imdb.com/title/tt6320628,https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,"Following the events of Vingadores: Ultimato (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",160000000
"Love, Rosie",23/02/2021,2014,Inglês,Christian Ditter,"Comédia, Romance",102,,,https://www.imdb.com/title/tt1638002,https://m.media-amazon.com/images/M/MV5BMTk0Mzg1MTU1MF5BMl5BanBnXkFtZTgwMjU3ODI2MzE@._V1_.jpg,"Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",
Jurassic World,26/02/2021,2015,Inglês,Colin Trevorrow,"Ação, Aventura, Ficção científica",124,,,https://www.imdb.com/title/tt0369610,https://m.media-amazon.com/images/M/MV5BNzQ3OTY4NjAtNzM5OS00N2ZhLWJlOWUtYzYwZjNmOWRiMzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",150000000
The 40-Year-Old Virgin,01/03/2021,2005,Inglês,Judd Apatow,"Comédia, Romance",116,,,https://www.imdb.com/title/tt0405422,https://m.media-amazon.com/images/M/MV5BNWY1NDI0ZTQtMjJiNS00ODY4LWE1NmUtYTkwNzY3NWQ0ZDZjXkEyXkFqcGdeQXVyMTM0NTc2NDgw._V1_.jpg,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",26000000
Meu Passado Me Condena,01/03/2021,2013,Português (Brasileiro),Júlia Rezende,"Comédia, Romance",102,,,https://www.imdb.com/title/tt3034258,https://m.media-amazon.com/images/M/MV5BNDM3NTE0MmQtZWM4OS00OGEwLWIzY2MtNjBhNzVkYWYyZmMyXkEyXkFqcGdeQXVyNjM2MDUyNDQ@._V1_.jpg,"Immature, cheap douchebag Fábio Clóvis marries pseudo-intellectual Miá and they take a honeymoon cruise to Europe aboard a fancy passenger vessel. Fabio and Miá are invited to have dinner with the wealthy Beto Assunção and his gorgeous wife Laura in a VIP restaurant on the ship. Soon Fábio discovers that Beto was Miá's boyfriend and Miá learns that Fábio had a crush on Laura when they were classmates. Meanwhile, cynical chambermaid Suzana Mello and her estranged husband, entertainer Wilson, make a bet that Fábio and Miá will split before the end of the trip, then try to poison their relationship. When the ship arrives in Casablanca, Fábio meets his bothersome childhood friend Cabeça; this affects their honeymoon.",
Porta dos Fundos: Contrato Vitalício,01/03/2021,2016,Português (Brasileiro),Ian SBF,Comédia,100,,,https://www.imdb.com/title/tt5708172,https://m.media-amazon.com/images/M/MV5BNWMwNzZlNzYtYTBiZi00NjQ5LWEyOWEtOTUwZDYyYjMzZmQ2XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,"An up-and-coming actor, Rodrigo, makes a deal with his friend, Miguel, to be in every single film he directs. In that same night Miguel disappears, only to be found years later with an unusual plot for their next movie.",7500000
Justice League,01/03/2021,2017,Inglês,Zack Snyder,"Ação, Aventura, Fantasia",120,,,https://www.imdb.com/title/tt0974015,https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",300000000
Tropa de Elite,02/03/2021,2007,Português (Brasileiro),José Padilha,"Ação, Crime, Drama",115,,,https://www.imdb.com/title/tt0861739,https://m.media-amazon.com/images/M/MV5BYmI1ODU5ZjMtNWUyNC00YzllLThjNzktODE1M2E4OTVmY2E5XkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_.jpg,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",4000000
Superbad,02/03/2021,2007,Inglês,Greg Mottola,Comédia,113,,,https://www.imdb.com/title/tt0829482,https://m.media-amazon.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_.jpg,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,20000000
Cilada.com,03/03/2021,2011,Português (Brasileiro),José Alvarenga Júnior,"Comédia, Romance",95,,,https://www.imdb.com/title/tt1988573,https://m.media-amazon.com/images/M/MV5BOTcwNjU5Nzc5MV5BMl5BanBnXkFtZTcwODg2MTEwNg@@._V1_.jpg,"Exposed by his girlfriend through a video on the Internet, Bruno tries to revive his reputation, but all he can do is get into a series of traps (Cilada, in Portuguese). Cilada.com is a comedy about love and betrayal that shows the power of the Internet to transform small intimacies and slips in fame and constraints globalized.",5500000
Meu Passado Me Condena 2,04/03/2021,2015,Português (Brasileiro),Júlia Rezende,"Comédia, Romance",105,,,https://www.imdb.com/title/tt4302740,https://m.media-amazon.com/images/M/MV5BNDIzYjVmYjctMjk1My00NjliLTgyZTMtNTkwZmMyNzliYjhjXkEyXkFqcGdeQXVyNjUyNDQyODY@._V1_.jpg,"This picks up with Fábio and Miá three years after their wedding took place after only one month of dating. Stressed out from dealing with their many differences, they decide to travel to Portugal in an attempt to save their marriage.",
Space Jam,04/03/2021,1996,Inglês,Joe Pytka,"Animação, Aventura, Comédia",88,,,https://www.imdb.com/title/tt0117705,https://m.media-amazon.com/images/M/MV5BYjA3ZmMwNTUtNGM2Ni00YjUyLWE5ZDYtY2Y4YzhmYzlhYWI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",80000000
O Homem do Futuro,04/03/2021,2011,Português (Brasileiro),Cláudio Torres,"Comédia, Fantasia, Romance",106,,,https://www.imdb.com/title/tt2027178,https://m.media-amazon.com/images/M/MV5BNzFmZDc3ODQtMDBkNy00OTY2LTlhODItN2NhYzI3ZDIzOWY3XkEyXkFqcGdeQXVyMTY2MzYyNzA@._V1_.jpg,"Zero is a brilliant scientist. However, 20 years ago, he was publicly humiliated when he lost Helena, the love of his life. One day, an accidental experience with one of his inventions causes him to travel back in time to 1991. Having taken the opportunity to change history, Zero returns to own time to find totally changed.",
The Theory of Everything,05/03/2021,2014,Inglês,James Marsh,"Biografia, Drama, Romance",123,,,https://www.imdb.com/title/tt2980516,https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_.jpg,A look at the relationship between the famous physicist Stephen Hawking and his wife.,15000000
How to Train Your Dragon,06/03/2021,2010,Inglês,"Chris Sanders, Dean DeBlois","Animação, Ação, Aventura",98,,,https://www.imdb.com/title/tt0892769,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_.jpg,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",165000000
"E Aí, Comeu?",06/03/2021,2012,Português (Brasileiro),Felipe Joffily,Comédia,104,,,https://www.imdb.com/title/tt2209400,https://m.media-amazon.com/images/M/MV5BMGY0NzA4OTgtYjFkZS00MjczLWE0YTktMmVhYWFlMjhhMTgzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_.jpg,The real first comedy about love.,1000000
